Id,Name,Person_To,Date,Time,Message,Said_Yes,Said_No
1,super user043,All Participants,"February 22, 2021",8:49:19 AM,"I'm doing Good, How about you?",0,0
2,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",8:49:44 AM,Good Morning!,0,0
3,super user043,All Participants,"February 22, 2021",8:49:45 AM,Hi Miguel,0,0
4,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",8:49:57 AM,Excited to learn today! :),0,0
5,super user043,Miguel Angel Garza Robledo (privately),"February 22, 2021",8:51:01 AM,"Great, All the Best :)",0,0
6,super user043,All Participants,"February 22, 2021",8:52:20 AM,"Hi all, Good Morning",0,0
7,Leonardo A Lamboglia,All Participants,"February 22, 2021",9:00:57 AM,Thank you. Sorry I didnt realize that it wasn't connected!,0,0
8,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",9:01:26 AM,yes,1,0
9,Sarah Jiang,All Participants,"February 22, 2021",9:01:29 AM,yes,1,0
10,Hamza Waseem,All Participants,"February 22, 2021",9:01:29 AM,yes,1,0
11,Aaron Alvarez,All Participants,"February 22, 2021",9:01:33 AM,yes,1,0
12,Leonardo A Lamboglia,All Participants,"February 22, 2021",9:01:34 AM,yes,1,0
13,Arpit Hasmukhbhai Patel,All Participants,"February 22, 2021",9:01:34 AM,yes,1,0
14,Marc Larock,All Participants,"February 22, 2021",9:01:42 AM,yes,1,0
15,Jacob Sears,All Participants,"February 22, 2021",9:01:47 AM,yes,1,0
16,Rain Sung,All Participants,"February 22, 2021",9:01:48 AM,yes,1,0
17,Marc Larock,All Participants,"February 22, 2021",9:01:54 AM,yes i can,1,0
18,Leonardo A Lamboglia,All Participants,"February 22, 2021",9:01:55 AM,yes,1,0
19,Rain Sung,All Participants,"February 22, 2021",9:01:55 AM,yes i can see,1,0
20,Sarah Jiang,All Participants,"February 22, 2021",9:01:55 AM,yes,1,0
21,Hamza Waseem,All Participants,"February 22, 2021",9:01:56 AM,i can see the screen,0,0
